GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
StockEase,com.stocks.stockease.demo,DemoTemporalSpread,0,324,0,8,0,59,0,13,0,9
StockEase,com.stocks.stockease.demo,DemoDataService,17,1162,0,2,3,122,1,22,1,21
StockEase,com.stocks.stockease.demo,DemoConfiguration,0,15,0,0,0,3,0,3,0,3
StockEase,com.stocks.stockease.demo,DemoProperties,0,9,0,0,0,1,0,1,0,1
StockEase,com.stocks.stockease.demo,DemoStartupSeeder,0,30,0,4,0,8,0,4,0,2
StockEase,com.stocks.stockease,StockEaseApplication,5,3,0,0,2,1,1,1,1,1
StockEase,com.stocks.stockease.audit.internal,ProductChangedListener,0,32,0,0,0,8,0,1,0,1
StockEase,com.stocks.stockease.config,JpaAuditingConfig,0,3,0,0,0,1,0,1,0,1
StockEase,com.stocks.stockease.config,FlywayConfiguration,0,38,0,2,0,14,0,3,0,2
StockEase,com.stocks.stockease.report.web,ReportController,9,186,1,11,2,33,2,23,1,18
StockEase,com.stocks.stockease.audit.web,ChangeLogResponse,0,44,0,0,0,3,0,2,0,2
StockEase,com.stocks.stockease.audit.web,AuditController,0,41,0,6,0,7,0,7,0,4
StockEase,com.stocks.stockease.product.web,ProductController,5,227,0,4,0,38,1,16,1,14
StockEase,com.stocks.stockease.product.web,ProductResponse,0,59,0,4,0,6,0,5,0,3
StockEase,com.stocks.stockease.shared,ApiResponse,0,22,0,0,0,8,0,2,0,2
StockEase,com.stocks.stockease.shared,TokenSearchSpec,0,60,0,0,0,10,0,7,0,7
StockEase,com.stocks.stockease.shared,SearchTerms,0,13,1,3,0,3,1,2,0,1
StockEase,com.stocks.stockease.shared,DuplicateResourceException,0,4,0,0,0,2,0,1,0,1
StockEase,com.stocks.stockease.shared,InvalidMovementException,0,4,0,0,0,2,0,1,0,1
StockEase,com.stocks.stockease.shared,ProductDeletedException,0,4,0,0,0,2,0,1,0,1
StockEase,com.stocks.stockease.shared,PaginatedResponse,0,23,0,0,0,7,0,1,0,1
StockEase,com.stocks.stockease.shared,InsufficientStockException,0,4,0,0,0,2,0,1,0,1
StockEase,com.stocks.stockease.shared,EntityInUseException,0,4,0,0,0,2,0,1,0,1
StockEase,com.stocks.stockease.shared,InvoiceStateException,0,4,0,0,0,2,0,1,0,1
StockEase,com.stocks.stockease.customer.web,UpdateCustomerRequest,0,18,0,0,0,1,0,1,0,1
StockEase,com.stocks.stockease.customer.web,CustomerController,0,87,0,0,0,14,0,6,0,6
StockEase,com.stocks.stockease.customer.web,CustomerResponse,0,42,0,0,0,3,0,2,0,2
StockEase,com.stocks.stockease.customer.web,CreateCustomerRequest,0,18,0,0,0,1,0,1,0,1
StockEase,com.stocks.stockease.invoice.web,CreateInvoiceRequest,0,63,0,0,0,5,0,3,0,3
StockEase,com.stocks.stockease.invoice.web,CreateInvoiceRequest.ItemRequest,0,12,0,0,0,1,0,1,0,1
StockEase,com.stocks.stockease.invoice.web,InvoiceController,5,119,0,0,0,21,1,9,1,9
StockEase,com.stocks.stockease.invoice.web,InvoiceItemResponse,0,37,0,0,0,3,0,2,0,2
StockEase,com.stocks.stockease.invoice.web,InvoiceResponse,0,76,0,0,0,7,0,2,0,2
StockEase,com.stocks.stockease.invoice.web,InvoiceSummaryResponse,0,67,0,0,0,6,0,2,0,2
StockEase,com.stocks.stockease.movement.web,StockMovementController,5,37,0,2,0,8,1,4,1,3
StockEase,com.stocks.stockease.movement.web,RegisterReturnRequest,0,28,0,0,0,2,0,2,0,2
StockEase,com.stocks.stockease.movement.web,RecordMovementRequest,0,29,0,0,0,2,0,2,0,2
StockEase,com.stocks.stockease.movement.web,ReturnController,5,37,0,2,0,8,1,4,1,3
StockEase,com.stocks.stockease.movement.web,MovementResponse,0,70,0,2,0,5,0,3,0,2
StockEase,com.stocks.stockease.invoice,InvoiceStatus,0,21,0,0,0,4,0,1,0,1
StockEase,com.stocks.stockease.invoice,InvoiceType,0,15,0,0,0,3,0,1,0,1
StockEase,com.stocks.stockease.invoice,CreateInvoiceCommand,0,27,0,0,0,1,0,1,0,1
StockEase,com.stocks.stockease.invoice,InvoiceClosedEvent,0,15,0,0,0,1,0,1,0,1
StockEase,com.stocks.stockease.invoice,CreateInvoiceCommand.ItemLine,0,12,0,0,0,1,0,1,0,1
StockEase,com.stocks.stockease.invoice,InvoiceClosedEvent.Line,0,12,0,0,0,1,0,1,0,1
StockEase,com.stocks.stockease.invoice,InvoiceService,5,574,4,54,1,114,4,47,0,22
StockEase,com.stocks.stockease.product,ProductChangedEvent.Field,0,27,0,0,0,5,0,1,0,1
StockEase,com.stocks.stockease.product,Product,0,14,0,0,0,5,0,1,0,1
StockEase,com.stocks.stockease.product,ProductChangedEvent,0,18,0,0,0,1,0,1,0,1
StockEase,com.stocks.stockease.product,ProductService,4,352,1,23,1,70,2,27,1,16
