GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
StockEase,com.stocks.stockease.exception,GlobalExceptionHandler,0,182,0,8,0,37,0,17,0,13
StockEase,com.stocks.stockease,StockEaseApplication,5,3,0,0,2,1,1,1,1,1
StockEase,com.stocks.stockease.model,User,0,12,0,0,0,5,0,1,0,1
StockEase,com.stocks.stockease.model,Product,0,53,0,4,0,14,0,6,0,4
StockEase,com.stocks.stockease.config,DataSeeder,0,92,0,4,0,11,0,3,0,1
StockEase,com.stocks.stockease.config,FlywayConfiguration,0,38,0,2,0,14,0,3,0,2
StockEase,com.stocks.stockease.config,CorsConfig,0,51,0,0,0,7,0,2,0,2
StockEase,com.stocks.stockease.dto,PaginatedResponse,0,23,0,0,0,7,0,1,0,1
StockEase,com.stocks.stockease.security,CustomUserDetailsService,0,35,0,0,0,9,0,3,0,3
StockEase,com.stocks.stockease.security,CustomAuthenticationEntryPoint,0,14,0,0,0,5,0,2,0,2
StockEase,com.stocks.stockease.security,JwtFilter,0,62,0,6,0,18,0,6,0,3
StockEase,com.stocks.stockease.security,SecurityConfig,12,254,0,0,4,34,1,11,1,11
StockEase,com.stocks.stockease.security,JwtUtil,0,80,0,0,0,18,0,8,0,8
StockEase,com.stocks.stockease.controller,HealthController,0,31,1,3,0,7,1,2,0,1
StockEase,com.stocks.stockease.controller,AuthController,0,93,0,4,0,19,0,4,0,2
StockEase,com.stocks.stockease.controller,ProductController,12,255,0,6,0,46,2,17,2,14
