GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
StockEase,com.stocks.stockease.exception,GlobalExceptionHandler,99,83,4,4,16,21,12,5,8,5
StockEase,com.stocks.stockease,StockEaseApplication,5,3,0,0,2,1,1,1,1,1
StockEase,com.stocks.stockease.model,User,0,12,0,0,0,5,0,1,0,1
StockEase,com.stocks.stockease.model,Product,1,52,2,2,0,14,2,4,0,4
StockEase,com.stocks.stockease.config,DataSeeder,0,92,2,2,0,11,2,1,0,1
StockEase,com.stocks.stockease.config,FlywayConfiguration,5,33,1,1,1,13,1,2,0,2
StockEase,com.stocks.stockease.config,CorsConfig,0,51,0,0,0,7,0,2,0,2
StockEase,com.stocks.stockease.dto,PaginatedResponse,0,23,0,0,0,7,0,1,0,1
StockEase,com.stocks.stockease.security,JwtUtil,80,0,0,0,18,0,8,0,8,0
StockEase,com.stocks.stockease.security,CustomUserDetailsService,29,6,0,0,6,3,2,1,2,1
StockEase,com.stocks.stockease.security,CustomAuthenticationEntryPoint,11,3,0,0,4,1,1,1,1,1
StockEase,com.stocks.stockease.security,JwtFilter,38,24,5,1,9,9,3,3,0,3
StockEase,com.stocks.stockease.security,SecurityConfig,12,254,0,0,4,34,1,11,1,11
StockEase,com.stocks.stockease.controller,HealthController,31,0,4,0,7,0,3,0,1,0
StockEase,com.stocks.stockease.controller,AuthController,0,93,0,4,0,19,0,4,0,2
StockEase,com.stocks.stockease.controller,ProductController,12,255,0,6,0,46,2,17,2,14
StockEase,db.migration,V3__seed_data,18,158,10,2,6,39,6,4,0,4
